"","ID","timezone","class_attend","class_time","studenthours","grp_prj_opt","grp_prj_fin","covid_examples"
"1",1,"Eastern US",5,NA,"Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi",4,4,"Sometimes - just not all the time"
"2",2,"Eastern US",4,NA,"Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi",5,1,"Yes - for sure"
"3",3,"Eastern US",5,NA,"Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi, the prereq is that my other class time does not conflict with the new class time",3,4,"Sometimes - just not all the time"
"4",4,"Eastern US",5,NA,"Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",3,4,"Yes - for sure"
"5",5,"Pacific US",5,NA,"Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",1,4,"Yes - for sure"
"6",6,"Eastern US",5,NA,"Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi",5,5,"Sometimes - just not all the time"
"7",7,"Central US",4,NA,"Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",5,3,"Sometimes - just not all the time"
"8",8,"Eastern US",5,NA,"Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi",5,1,"Yes - for sure"
"9",9,"Eastern US",5,NA,"Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",3,5,"Sometimes - just not all the time"
"10",10,"Pacific US",3,NA,"Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",3,2,"Very sparingly"
"11",11,"Eastern US",3,NA,"Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi",4,4,"Very sparingly"
"12",12,"Eastern US",5,NA,"Tues 8 AM Eastern / 5 AM Pacific / 8 PM China / 5 PM Karachi, Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",3,4,"Very sparingly"
"13",13,"Eastern US",5,NA,"Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi, Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",4,4,"Yes - for sure"
"14",14,"Eastern US",4,NA,"Tues 9 AM Eastern / 6 AM Pacific / 9 PM China / 6 PM Karachi, Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi, Tues 8 PM Eastern / 5 PM Pacific / 8 AM (Wed) China / 5 AM (Wed) Karachi",5,2,"No - hard pass"
"15",15,"Eastern US",4,NA,"Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi",4,4,"Sometimes - just not all the time"
"16",16,"Eastern US",2,NA,"Tues 9 PM Eastern / 6 PM Pacific / 9 AM (Wed) China / 6 AM (Wed) Karachi",5,1,"Yes - for sure"
"17",17,"Eastern US",5,NA,"Tues 2 PM Eastern / 11 AM Pacific / 2 AM China / 11 PM Karachi, Tues 4 PM Eastern / 1 PM Pacific / 3 AM China / 5 PM Karachi",3,3,"Sometimes - just not all the time"
