case#,state,q0a,q0b,q1,q2,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26,q27,q28,q29,q30,q31,q32,q33,q34,q35m1,q36,q37,q38,vote16,educ,ideo,liberal,conserv,moderate,party,democrat,republican,dem_rep_lean,cell1,cell2,cell3,hispanic,raceq,brnagain,carea,income,getstate,gender,age,agex,partyid,phil3,whtevang,region,Tvote2016,Phil7,Phil5,PID7,PID5,weight,samtype
2,FL,Yes (All),1974,Somewhat approve,Approve,Somewhat,Somewhat,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Right direction,Worst is over,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","No, does not describe",Not very,Somewhat,Somewhat,Somewhat,Somewhat,Oppose,Favor,Too much,Somewhat,More,No silver lining,No,Very,Yes,(Wont say _ Refused),(Graduate degree),Moderate, , ,Lean conservative,Republican, ,Strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,Yes,Urban,"$50,000 to under $75,000",FL,Male,46-54,46,"Republican,",CONSRV (very + somewhat conservative),yes,South,Clinton 10%+,Lean Conservative,Somewhat Conservative,Strong Republican,Strong Republican,1.142858734,Cell
3,CO,Yes (All),1973,Strongly disapprove,Approve,Very,Somewhat,Somewhat disapprove,Strongly disapprove,Strongly disapprove,Strongly approve,Strongly disapprove,Somewhat approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Somewhat,Very,Very,Very,Favor,Favor,Too little,A great deal,More,Will hurt Trump s reelection / Trump negative,No,Somewhat,Yes,(Someone else),(Graduate degree),Liberal,Somewhat liberal, , ,Neither, , ,Lean Democratic,"No, no home telephone", , ,No,White,No,Suburban,"$100,000 or more",CO,Male,46-54,47,Democrat,"LIBERAL (very liberal + somewhat liberal),",no,West,Trump 10%+,Somewhat Liberal,Somewhat Liberal,Lean Democrat,Lean Democarat,1.127754282,Cell
5,FL,Yes (All),1964,Somewhat approve,Disapprove,Somewhat,Somewhat,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,Somewhat approve,(Dont know),(Dont know),Reacting appropriately,(Mixed),"Yes, describes","Yes, describes","Yes, describes",(Dont know),Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Favor,(Dont know),Somewhat,No difference,Will be stronger in the future / Pandemic will be contained,No,Somewhat,Yes,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,No,Rural,"$75,000 to under $100,000",FL,Male,55-64,56,"Republican,",CONSRV (very + somewhat conservative),no,South,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.742524559,Cell
6,PA,Yes (All),1973,Somewhat approve,Disapprove,Very,Not very,Somewhat approve,Somewhat approve,Somewhat approve,Strongly approve,Strongly approve,Somewhat approve,Right direction,(Dont know),Reacting appropriately,(Mixed),"Yes, describes","Yes, describes","Yes, describes",(Dont know),Very,Not very,Not very,Somewhat,Somewhat,Favor,Favor,Too little,Somewhat,No difference,Preparation for the future / Better prepared for future outbreaks,No,Somewhat,Yes,(Someone else),(4-year degree_traditional college degree),Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,No,Suburban,"$100,000 or more",PA,Male,46-54,47,"Republican,",CONSRV (very + somewhat conservative),no,Northeast,Close,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,1.103501501,Cell
7,ND,Yes (All),1946,Strongly approve,(Dont know),Somewhat,Somewhat,Somewhat approve,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Very,Somewhat,Somewhat,Favor,Favor,(Dont know),Somewhat,No difference,Not sure / Refused,No,Somewhat,No,Republican Donald Trump,"(Some college, no degree)",Conservative, ,Somewhat conservative, ,Republican, ,Not so strong, ,"No, no home telephone", , ,No,White,No,Small town,DO NOT READ -- (Refused_Dont know),ND,Male,65+,74,"Republican,",CONSRV (very + somewhat conservative),no,Midwest,Trump 10%+,Somewhat Conservative,Somewhat Conservative,Somewhat Republican,Lean Republican,.76865966,Cell
8,MD,Yes (All),1960,Strongly disapprove,Disapprove,Very,Somewhat,Strongly disapprove,Strongly disapprove,Somewhat disapprove,Strongly approve,Somewhat approve,Strongly approve,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe","No, does not describe","No, does not describe",Very,Not at all,Somewhat,Not very,Somewhat,Favor,Favor,(Dont know),Somewhat,No difference,Bringing people together / Sense of community,No,Somewhat,No,(Someone else),(Graduate degree),Moderate, , ,Dont lean either way,Neither, , ,Dont lean either way,"Yes, has a home telephone", ,Very few or none received on a cell phone?,No,White,No,Suburban,"$50,000 to under $75,000",MD,Male,55-64,60,Independent + other,"MODERATE,",no,South,Clinton 10%+,Moderate,Moderate,Independent,Independent,.767070362,Cell
9,NV,Yes (All),1956,Strongly approve,Disapprove,Not at all,Not at all,Strongly disapprove,Strongly approve,Strongly approve,Strongly disapprove,Somewhat approve,Strongly disapprove,Right direction,Worst is over,Reacting appropriately,Federal government could have slowed the spread of the virus,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Not at all,Not very,Not very,Not at all,Not very,Oppose,Favor,Too little,Not at all,No difference,Will be stronger in the future / Pandemic will be contained,No,Not at all,Yes,Republican Donald Trump,"(Some college, no degree)",Conservative, ,Very conservative, ,Republican, ,Strong, ,"No, no home telephone", , ,No,White,Yes,Urban,"Under $30,000",NV,Male,55-64,64,"Republican,",CONSRV (very + somewhat conservative),yes,West,Trump 10%+,Very Conservative,Very Conservative,Strong Republican,Strong Republican,.865187,Cell
10,TX,Yes (All),1942,Somewhat approve,Disapprove,Somewhat,Very,Strongly approve,Strongly approve,Strongly approve,Strongly approve,Somewhat approve,Strongly approve,Right direction,Worst is yet to come,Reacting appropriately,Nothing could have prevented it from spreading the way it has,"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,Favor,Favor,(Dont know),Somewhat,More,Bringing people together / Sense of community,No,Somewhat,No,Republican Donald Trump,(4-year degree_traditional college degree),Conservative, ,Somewhat conservative, ,Republican, ,Strong, ,"Yes, has a home telephone", ,Very few or none received on a cell phone?,No,White,Yes,Suburban,"$100,000 or more",TX,Male,65+,78,"Republican,",CONSRV (very + somewhat conservative),yes,South,Clinton 10%+,Somewhat Conservative,Somewhat Conservative,Strong Republican,Strong Republican,.675765192,Cell
11,FL,Yes (All),1977,(Dont know),Disapprove,Very,Somewhat,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disapprove,Wrong direction,Worst is yet to come,Reacting appropriately,(Dont know),"Yes, describes","Yes, describes","Yes, describes","Yes, describes",Very,Very,Very,Very,Very,Favor,Favor,Just about right,A great deal,(Mixed),No silver lining,No,Very,Yes,Or did things come up to keep you from voting?,(4-year degree_traditional college degree),Moderate, , ,Dont lean either way,Neither, , ,Dont lean either way,"No, no home telephone", , ,No,"African-American, black",No,Urban,"$30,000 to under $50,000",FL,Male,30-45,43,Independent + other,"MODERATE,",no,South,Close,Moderate,Moderate,Independent,Independent,1.094075052,Cell
13,NY,Yes (All),1961,Strongly approve,Disapprove,Very,Somewhat,Somewhat approve,Somewhat approve,(Dont know),Somewhat approve,(Dont know),Somewhat disapprove,Wrong direction,Worst is yet to come,Not taking the pandemic seriously enough,Federal government could have slowed the spread of the virus,"No, does not describe","No, does not describe",(Dont know),"No, does not describe",Very,Very,Not very,Not at all,Somewhat,Favor,Favor,Too little,A great deal,More,Giving the environment a break / Less pollution,No,Somewhat,Yes,Republican Donald Trump,(4-year degree_traditional college degree),Moderate, , ,Lean conservative,Neither, , ,Dont lean either way,"Yes, has a home telephone", ,Some received on a cell phone and some on a regular home phone,No,White,No,Suburban,"$100,000 or more",NY,Male,55-64,59,Independent + other,CONSRV (very + somewhat conservative),no,Northeast,Clinton 10%+,Lean Conservative,Somewhat Conservative,Independent,Independent,.750574225,Cell
