"","ID","classactivities","timezone","timeforcourse"
"1",1,"Additional practice problems and solutions, Scheduled office hour time held via Slack, Lectures on YouTube","Central","I'm going to have the same about of time as I do now"
"2",2,"Stick to the syllabus, just do the lectures via Zoom, keep it similar to as it is now, Additional practice problems and solutions, Scheduled office hour time held via Slack, Lectures on YouTube","Eastern","I'm going to have the same about of time as I do now"
"3",3,"Stick to the syllabus, just do the lectures via Zoom, keep it similar to as it is now, Online discussion and open questions during class time (instead of any lecture during class time), Scheduled office hour time held via Slack, Scheduled office hour time held via Zoom, Lectures on YouTube","Pacific","I'm going to have more time - this might be better"
"4",4,"Online discussion and open questions during class time (instead of any lecture during class time), Scheduled office hour time held via Slack, Lectures on YouTube","Eastern","I'm going to have the same about of time as I do now"
"5",5,"Stick to the syllabus, just do the lectures via Zoom, keep it similar to as it is now, Additional practice problems and solutions, Scheduled office hour time held via Slack, Lectures on YouTube","Eastern","I'm going to have the same about of time as I do now"
"6",6,"Stick to the syllabus, just do the lectures via Zoom, keep it similar to as it is now, Scheduled office hour time held via Slack, Scheduled office hour time held via Zoom, Live online lectures + record the lectures for people who couldnt make it due to time zones","Eastern",NA
"7",7,"Stick to the syllabus, just do the lectures via Zoom, keep it similar to as it is now, Scheduled office hour time held via Slack, Scheduled office hour time held via Zoom, Lectures on YouTube","Central","I'm going to have the same about of time as I do now"
"8",8,"Additional practice problems and solutions, Online discussion and open questions during class time (instead of any lecture during class time), Scheduled office hour time held via Zoom, Lectures on YouTube","Pacific","I'm going to have the same about of time as I do now"
"9",9,"Stick to the syllabus, just do the lectures via Zoom, keep it similar to as it is now, Scheduled office hour time held via Zoom, Lectures on YouTube","Pacific","0-2 hours per week less than now"
"10",10,"Stick to the syllabus, just do the lectures via Zoom, keep it similar to as it is now, Scheduled office hour time held via Slack, Scheduled office hour time held via Zoom, Lectures on YouTube","Eastern","I'm going to have the same about of time as I do now"
